index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
8220,Kickstarter,1563454,1534380,video,13,1,3,8475,"ORG,PERSON,PRODUCT",0,1678,4839,0,0,1.4104237755970659e-05,6.704233754017222e-05,0.1072917953133583,9.128143998342611e-05,0.5077855587005615,8.625690206278614e-05,0.09755070507526398,3.6064093132637004e-05,0.23430825769901276,6.5531715841932e-05,8.205914442590266e-05
8221,Kickstarter,1563454,1534380,link,7,1,2,9,"CARDINAL,ORG,DATE,WORK_OF_ART,PERSON,GPE",0,1679,4839,2,0,2.6759248418524255e-05,5.60193858394037e-05,0.28207865357398987,0.5012592673301697,4.8912291570719414e-05,8.614455808149042e-05,0.08855542540550232,0.08829957991838455,8.265212187256547e-05,8.867295667235748e-05,5.36911480689012e-05
8222,Indiegogo,523852,524759,video,38,5,0,9782,,0,1679,5303,3,1,0.01515472587198019,0.4967837929725647,0.015154543332755566,0.015154595486819744,0.015154583379626274,0.015154561027884483,0.015154543332755566,0.015154572203755379,0.015154603868722916,0.18181481957435608,0.20016464591026306
8223,GoFundMe,1250997,1230934,link,91,31,16,120,"DATE,ORDINAL,MONEY,PERSON,GPE",0,1679,4545,29,0,3.0190868944547116e-05,0.10970543324947357,3.409432805066731e-05,0.41576269268989563,0.13715247809886932,0.2795065641403198,7.648922615300093e-05,2.3360483088492637e-05,9.049052366736279e-05,8.973550269252e-05,2.3562614565623505e-05
8224,Kickstarter,1563412,1534339,link,11,0,0,13,"ORG,PERSON",0,1679,4839,2,0,7.800223949416928e-05,0.08795341104269028,0.17546185851097107,0.3313283324241638,3.626957398239146e-05,0.09041698276996613,0.0538194514811039,9.918283672704917e-05,0.24123011529445648,9.157590202427623e-05,4.516401621499452e-05
8225,GoFundMe,1250997,1230934,link,118,15,5,143,"NORP,PERSON",0,1679,4545,25,0,0.0910215824842453,8.35825640609886e-05,9.74607682318514e-05,0.3242141008377075,5.797479189850093e-05,0.22403602302074432,7.025315506493333e-05,2.779687647251703e-05,0.10348416864871979,0.2335146814584732,2.6305390800702617e-05
8226,Kickstarter,1563412,1534339,video,65,0,6,21177,"ORG,ORDINAL,FAC,DATE,GPE",0,1679,4839,4,0,4.470191909117212e-05,7.362696282881928e-05,0.09064535051584244,0.10008344054222107,0.10595891624689102,5.8453601386379454e-05,0.09647893905639648,0.33923104405403137,3.679695756058515e-05,0.22967852652072906,9.376223021602285e-05
8227,Kickstarter,1563412,1534339,video,74,4,78,16918,"NORP,PERSON,GPE",0,1679,4839,4,1,0.018185969442129135,0.018185999244451523,0.018186988309025764,0.25958380103111267,0.01818702556192875,0.018186965957283974,0.018185622990131378,0.018188074231147766,0.5767381191253662,0.018185622990131378,0.01818583905696869
8228,GoFundMe,1250997,1230934,link,114,15,8,158,"ORG,DATE",0,1679,4545,43,1,7.007526205046875e-05,2.598672691817453e-05,6.345743119776841e-05,4.377987898160807e-05,0.45115336775779724,0.36162856221199036,9.132990677782567e-05,3.0065862233435303e-05,0.12659049034118652,9.095810590564823e-05,2.2462727094751868e-05
8229,Indiegogo,523791,524700,video,49,12,11,6034,DATE,0,1680,5303,5,1,0.010103105567395687,0.5382445454597473,0.010102946311235428,0.010103046894073486,0.010102931410074234,0.010102896019816399,0.37082868814468384,0.010102896019816399,0.01010302547365427,0.010102896019816399,0.010102988220751286
8230,GoFundMe,1250421,1230375,link,93,13,23,136,"PERSON,DATE",0,1680,4545,34,9,0.19503939151763916,0.09566399455070496,9.040590595992808e-05,1.98196513147291e-05,6.726071131955665e-05,0.2125154286623001,4.379223414031222e-05,0.44372445344924927,2.3810450352538807e-05,9.907827211084902e-05,7.608761547343259e-05
8231,Kickstarter,1563361,1534290,link,17,0,7,19,"CARDINAL,ORG,DATE,QUANTITY",0,1680,4839,2,0,1.8249551083672694e-05,0.09854728728532791,0.12713082134723663,0.1409229338169098,6.506415454736691e-05,3.6426166678213786e-05,0.15069334208965302,0.10455486178398132,0.07656577229499817,0.28338903188705444,8.739891494618478e-05
