pledge_types,start_month,start_day,population,Person,Team,num_projects,num_backed,category_art,category_comics,category_crafts,category_dance,category_design,category_fashion,category_film_Video,category_food,category_games,category_journalism,category_music,category_photography,category_publishing,category_technology,category_theater,region_Africa,region_Asia,region_Europe,region_North America,region_Oceania,region_Other,region_South America,duration_<1 week,duration_1-2 weeks,duration_2 weeks - 1 month,duration_1-2 months,fb_likes,fb_comments,fb_shares,fb_positive_reactions,fb_negative_reactions,success,collection_ratio,num_backers
5,1,6,0.0017767993207562895,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,20,2,1,1,0,1,7.9367422245651005,4.3694478524670215
5,1,2,0.0038859699041115412,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,2,6,1,0,1,2.1410000000000005,4.499809670330265
10,12,1,0.007096756066335701,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,1,1.3063333333333307,5.0369526024136295
2,12,3,0.1039115262383519,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,1,1,0,0,1,1.3875000000000002,3.4965075614664802
11,12,3,0.17798537127286101,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,1,1,0,0,1,1.1325000000000016,5.056245805348308
12,11,1,0.3663417835041059,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,0,0,0,1,1.3019166666666697,5.043425116919247
17,11,3,0.1039115262383519,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,4,1,2,0,1,1.8763000000000019,5.476463551931511
34,11,0,0.3663417835041059,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20,7,0,1,1,0,0.24566666666666703,5.209486152841421
17,11,1,0.017978744461169822,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,6,3,2,4,1,3.3533749999999993,6.222576268071369
15,11,0,0.003908241512243095,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,1,0,0,1,1,1.047759999999998,5.327876168789581
11,11,1,0.17798537127286101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,1,0,1,1.431322857142858,5.19295685089021
11,11,2,0.018412032547737083,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,3,1,1,0,1,1.0657500000000004,5.480638923341991
16,10,6,0.026508725563463904,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,3,1,1,1.098750000000004,4.976733742420574
